Country,location,Avg_TotalCase,total_cases,Avg_Ncase,new_cases,Avg_Tdeath,total_deaths,Avg_Ndeath,new_deaths,Avg_Ttest,total_tests,Avg_Tvaccine,total_vaccination,Avg_Hvaccin,vaccinated,Avg_Fvaccin,fully_vaccinated,Avg_Pop,population,Date,A_Date
A,Australia,0,9,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,25499881,25499881,1/30/20,2020-01
C,Cambodia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16718971,16718971,1/30/20,2020-01
C,Canada,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37742157,37742157,1/30/20,2020-01
C,China,0,1401,1031.8,483,60,42,21.4,16,0,0,0,0,0,0,0,0,1439323774,1439323774,1/25/20,2020-01
C,China,0,8131,1856.5,2054,192,171,40,38,0,0,0,0,0,0,0,0,1439323774,1439323774,1/30/20,2020-01
F,Fiji,0,0,0,0,0,0,0,0,1.5,3,0,0,0,0,0,0,896444,896444,1/30/20,2020-01
F,Finland,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5540718,5540718,1/30/20,2020-01
F,France,3.833333333,3,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,67564251,67564251,1/25/20,2020-01
F,France,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67564251,67564251,1/30/20,2020-01
G,Germany,4.5,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,83783945,83783945,1/30/20,2020-01
H,Hong Kong,8.166666667,5,1.6,3,0,0,0,0,0,0,0,0,0,0,0,0,7496988,7496988,1/25/20,2020-01
H,Hong Kong,11,10,1,0,0,0,0,0,1805,0,0,0,0,0,0,0,7496988,7496988,1/30/20,2020-01
I,India,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1380004385,1380004385,1/30/20,2020-01
J,Japan,5.833333333,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,126476458,126476458,1/25/20,2020-01
J,Japan,13,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,126476458,126476458,1/30/20,2020-01
M,Malaysia,5,3,1.4,3,0,0,0,0,0,0,0,0,0,0,0,0,32365998,32365998,1/25/20,2020-01
M,Malaysia,8,8,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,32365998,32365998,1/30/20,2020-01
M,Mexico,0,0,0,0,0,0,0,0,663.4,313,0,0,0,0,0,0,128932753,128932753,1/5/20,2020-01
M,Mexico,0,0,0,0,0,0,0,0,1428,1176,0,0,0,0,0,0,128932753,128932753,1/10/20,2020-01
M,Mexico,0,0,0,0,0,0,0,0,2430.6,2083,0,0,0,0,0,0,128932753,128932753,1/15/20,2020-01
M,Mexico,0,0,0,0,0,0,0,0,3527.4,2984,0,0,0,0,0,0,128932753,128932753,1/20/20,2020-01
M,Mexico,0,0,0,0,0,0,0,0,4567.6,4132,0,0,0,0,0,0,128932753,128932753,1/25/20,2020-01
M,Mexico,0,0,0,0,0,0,0,0,5336,5260,0,0,0,0,0,0,128932753,128932753,1/30/20,2020-01
N,Nepal,1,1,0.2,1,0,0,0,0,1.4,0,0,0,0,0,0,0,29136808,29136808,1/25/20,2020-01
N,Nepal,1,1,0,0,0,0,0,0,2.5,5,0,0,0,0,0,0,29136808,29136808,1/30/20,2020-01
O,Oceania,4.833333333,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,42677809,42677809,1/25/20,2020-01
O,Oceania,9,9,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,42677809,42677809,1/30/20,2020-01
P,Peru,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,32971846,32971846,1/10/20,2020-01
P,Peru,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,32971846,32971846,1/15/20,2020-01
P,Peru,0,0,0,0,0,0,0,0,5.4,8,0,0,0,0,0,0,32971846,32971846,1/20/20,2020-01
P,Peru,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,32971846,32971846,1/25/20,2020-01
P,Peru,0,0,0,0,0,0,0,0,19.5,18,0,0,0,0,0,0,32971846,32971846,1/30/20,2020-01
P,Philippines,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,109581085,109581085,1/30/20,2020-01
S,Singapore,6,3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,5850343,5850343,1/25/20,2020-01
S,Singapore,11.5,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5850343,5850343,1/30/20,2020-01
S,Sri Lanka,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21413250,21413250,1/30/20,2020-01
T,Taiwan,1.333333333,0,0.4,0,0,0,0,0,83.4,8,0,0,0,0,0,0,23816775,23816775,1/20/20,2020-01
T,Taiwan,6.166666667,3,1,0,0,0,0,0,508.6,282,0,0,0,0,0,0,23816775,23816775,1/25/20,2020-01
T,Taiwan,9.5,9,1,1,0,0,0,0,869.5,823,0,0,0,0,0,0,23816775,23816775,1/30/20,2020-01
T,Thailand,0,0,0,0,0,0,0,0,9.2,4,0,0,0,0,0,0,69799978,69799978,1/5/20,2020-01
T,Thailand,0,0,0,0,0,0,0,0,54,41,0,0,0,0,0,0,69799978,69799978,1/10/20,2020-01
T,Thailand,0,0,0,0,0,0,0,0,103.6,83,0,0,0,0,0,0,69799978,69799978,1/15/20,2020-01
T,Thailand,3.166666667,0,0.2,0,0,0,0,0,201.8,174,0,0,0,0,0,0,69799978,69799978,1/20/20,2020-01
T,Thailand,10.66666667,6,1.8,1,0,0,0,0,400,263,0,0,0,0,0,0,69799978,69799978,1/25/20,2020-01
T,Thailand,16.5,14,2.5,0,0,0,0,0,775,704,0,0,0,0,0,0,69799978,69799978,1/30/20,2020-01
U,United Arab Emirates,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9890400,9890400,1/30/20,2020-01
U,United States,4.833333333,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,331002647,331002647,1/25/20,2020-01
U,United States,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,331002647,331002647,1/30/20,2020-01
V,Vietnam,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97338583,97338583,1/25/20,2020-01
V,Vietnam,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97338583,97338583,1/30/20,2020-01
A,Afghanistan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38928341,38928341,2/25/20,2020-02
A,Albania,0,0,0,0,0,0,0,0,16.4,8,0,0,0,0,0,0,2877800,2877800,2/25/20,2020-02
A,Algeria,1,1,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,43851043,43851043,2/25/20,2020-02
A,Australia,14.5,13,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,25499881,25499881,2/5/20,2020-02
