Country,CountryName,TotalCase,NewCase,TotalDeath,NewDeath,TotalRecoverd,Active,Serious,TotalTests,Population,Date
U,USA,311357,34196,8452,1331,14825,288080,8206,1632955,331060504,04/04/20
S,Spain,126168,6969,11947,749,34219,80002,6532,355000,46755366,04/04/20
I,Italy,124632,4805,15362,681,20996,88274,3994,657224,60458858,04/04/20
G,Germany,96092,4933,1444,169,26400,68248,3936,918460,83792278,04/04/20
F,France,89953,7788,7560,1053,15438,66955,6838,224254,65278075,04/04/20
C,China,81639,19,3326,4,76755,1558,331,0,1439323776,04/04/20
I,Iran,55743,2560,3452,158,19736,32555,4103,186000,84021254,04/04/20
U,UK,41903,3735,4313,708,135,37455,163,183190,84021254,04/04/20
T,Turkey,23934,3013,501,76,786,22647,1311,161380,67896748,04/04/20
S,Switzerland,20505,899,666,75,6415,13424,391,153440,84363898,04/04/20
B,Belgium,18431,1661,1283,140,3247,13901,1245,70000,8656463,04/04/20
N,Netherlands,16627,904,1651,164,250,14726,1360,75415,17136070,04/04/20
C,Canada,13912,1537,231,23,2595,11086,120,317972,37751539,04/04/20
A,Austria,11781,257,186,18,2507,9088,245,104134,9007934,04/04/20
P,Portugal,10524,638,266,20,75,10183,251,81087,0,04/04/20
B,Brazil,10360,1166,445,82,127,9788,296,54824,0,04/04/20
S,S. Korea,10156,94,177,3,6325,3654,55,455032,0,04/04/20
I,Israel,7851,423,44,4,427,7380,115,90394,0,04/04/20
S,Sweden,6443,312,373,15,205,5865,379,36900,0,04/04/20
N,Norway,5550,180,62,3,32,5456,98,105865,0,04/04/20
A,Australia,5550,96,30,2,585,4935,85,286786,0,04/04/20
R,Russia,4731,582,43,9,333,4355,8,639606,0,04/04/20
I,Ireland,4604,331,137,17,25,4442,148,30213,0,04/04/20
C,Czechia,4472,282,59,6,78,4335,87,74170,0,04/04/20
C,Chile,4161,424,27,5,528,3606,38,48613,0,04/04/20
D,Denmark,4077,320,161,22,1283,2633,142,45270,0,04/04/20
P,Poland,3627,244,79,8,116,3432,50,72901,0,04/04/20
R,Romania,3613,430,146,13,329,3138,119,36092,0,04/04/20
I,India,3588,529,99,13,229,3260,0,116608,0,04/04/20
M,Malaysia,3483,150,57,4,915,2511,99,49570,0,04/04/20
E,Ecuador,3465,97,172,27,100,3193,100,11309,0,04/04/20
J,Japan,3139,204,77,8,514,2548,64,42882,0,04/04/20
P,Philippines,3094,76,144,8,57,2893,1,5530,0,04/04/20
P,Pakistan,2818,132,41,1,131,2646,13,30308,0,04/04/20
L,Luxembourg,2729,117,31,0,500,2198,35,22793,0,04/04/20
S,Saudi Arabia,2179,140,29,4,420,1730,41,0,0,04/04/20
I,Indonesia,2092,106,191,10,150,1751,0,7896,0,04/04/20
T,Thailand,2067,89,20,1,674,1373,23,23669,0,04/04/20
F,Finland,1882,267,25,5,300,1557,72,29000,0,04/04/20
P,Panama,1801,128,46,5,13,1742,50,7333,0,04/04/20
P,Peru,1746,151,73,12,914,759,88,17841,0,04/04/20
M,Mexico,1688,178,60,10,633,995,1,15668,0,04/04/20
G,Greece,1673,60,68,5,78,1527,92,22437,0,04/04/20
S,Serbia,1624,148,44,5,54,1526,89,6401,0,04/04/20
S,South Africa,1585,80,9,0,95,1481,7,53937,0,04/04/20
D,Dominican Republic,1578,90,77,9,17,1484,147,4542,0,04/04/20
U,UAE,1505,241,10,1,125,1370,2,220000,0,04/04/20
A,Argentina,1451,98,43,1,279,1129,0,8488,0,04/04/20
I,Iceland,1417,53,4,0,396,1017,12,23640,0,04/04/20
C,Colombia,1406,139,32,7,85,1289,50,23706,0,04/04/20
Q,Qatar,1325,250,3,0,109,1213,37,31951,0,04/04/20
A,Algeria,1251,80,130,25,90,1031,0,3359,0,04/04/20
U,Ukraine,1225,153,32,5,25,1168,16,5040,0,04/04/20
S,Singapore,1189,75,6,1,297,886,24,39000,0,04/04/20
C,Croatia,1126,47,12,4,119,995,39,9833,0,04/04/20
E,Egypt,1070,85,71,5,241,758,0,25000,0,04/04/20
E,Estonia,1039,78,13,1,59,967,20,19091,0,04/04/20
S,Slovenia,977,43,22,2,79,876,31,27109,0,04/04/20
N,New Zealand,950,82,1,0,127,822,1,33116,0,04/04/20
M,Morocco,919,128,59,11,66,794,1,4321,0,04/04/20
I,Iraq,878,58,56,2,259,563,0,0,0,04/04/20
H,Hong Kong,862,17,4,0,173,685,8,90000,0,04/04/20
L,Lithuania,771,75,11,2,7,753,11,21376,0,04/04/20
A,Armenia,770,34,7,0,43,720,30,3994,0,04/04/20
M,Moldova,752,161,12,4,29,711,65,681,0,04/04/20
D,Diamond Princess,712,0,11,0,619,82,10,0,0,04/04/20
B,Bahrain,688,16,4,0,423,261,3,39379,0,04/04/20
