Country,location,total_cases,new_cases,total_deaths,new_deaths,total_tests,total_vaccinations,vaccinated,fully_vaccinated,people_vaccinated_per_hundred,population,Date,A_Date
A,Afghanistan,1,0,0,0,0,0,0,0,0,38928341,2020-02-25,2020-02-15
A,Afghanistan,1,0,0,0,0,0,0,0,0,38928341,2020-02-29,2020-02-15
A,Afghanistan,4,0,0,0,0,0,0,0,0,38928341,2020-03-05,2020-03-15
A,Afghanistan,8,1,0,0,0,0,0,0,0,38928341,2020-03-10,2020-03-15
A,Afghanistan,16,1,0,0,0,0,0,0,0,38928341,2020-03-15,2020-03-15
A,Afghanistan,29,4,0,0,0,0,0,0,0,38928341,2020-03-20,2020-03-15
A,Afghanistan,76,33,2,1,0,0,0,0,0,38928341,2020-03-25,2020-03-15
A,Afghanistan,146,28,4,0,0,0,0,0,0,38928341,2020-03-30,2020-03-15
A,Afghanistan,338,38,12,2,0,0,0,0,0,38928341,2020-04-05,2020-04-15
A,Afghanistan,532,47,18,1,0,0,0,0,0,38928341,2020-04-10,2020-04-15
A,Afghanistan,785,70,29,6,0,0,0,0,0,38928341,2020-04-15,2020-04-15
A,Afghanistan,1027,30,36,3,0,0,0,0,0,38928341,2020-04-20,2020-04-15
A,Afghanistan,1464,133,47,4,0,0,0,0,0,38928341,2020-04-25,2020-04-15
A,Afghanistan,2127,187,64,3,0,0,0,0,0,38928341,2020-04-30,2020-04-15
A,Afghanistan,3225,330,95,5,0,0,0,0,0,38928341,2020-05-05,2020-05-15
A,Afghanistan,4403,361,120,5,0,0,0,0,0,38928341,2020-05-10,2020-05-15
A,Afghanistan,6054,414,153,17,0,0,0,0,0,38928341,2020-05-15,2020-05-15
A,Afghanistan,8146,492,188,10,0,0,0,0,0,38928341,2020-05-20,2020-05-15
A,Afghanistan,11176,591,220,1,0,0,0,0,0,38928341,2020-05-25,2020-05-15
A,Afghanistan,14528,866,250,3,0,0,0,0,0,38928341,2020-05-30,2020-05-15
A,Afghanistan,18972,915,313,9,0,0,0,0,0,38928341,2020-06-05,2020-06-15
A,Afghanistan,22146,684,409,21,0,0,0,0,0,38928341,2020-06-10,2020-06-15
A,Afghanistan,25531,761,482,7,0,0,0,0,0,38928341,2020-06-15,2020-06-15
A,Afghanistan,28428,546,573,21,0,0,0,0,0,38928341,2020-06-20,2020-06-15
A,Afghanistan,30165,460,674,36,0,0,0,0,0,38928341,2020-06-25,2020-06-15
A,Afghanistan,31507,279,752,12,0,0,0,0,0,38928341,2020-06-30,2020-06-15
A,Afghanistan,32941,279,866,38,0,0,0,0,0,38928341,2020-07-05,2020-07-15
A,Afghanistan,34184,286,973,14,0,0,0,0,0,38928341,2020-07-10,2020-07-15
A,Afghanistan,34984,254,1096,32,0,0,0,0,0,38928341,2020-07-15,2020-07-15
A,Afghanistan,35493,40,1185,2,0,0,0,0,0,38928341,2020-07-20,2020-07-15
A,Afghanistan,36026,48,1249,22,0,0,0,0,0,38928341,2020-07-25,2020-07-15
A,Afghanistan,36532,69,1283,10,0,0,0,0,0,38928341,2020-07-30,2020-07-15
A,Afghanistan,36820,47,1296,6,0,0,0,0,0,38928341,2020-08-05,2020-08-15
A,Afghanistan,37153,70,1329,8,0,0,0,0,0,38928341,2020-08-10,2020-08-15
A,Afghanistan,37542,45,1371,1,0,0,0,0,0,38928341,2020-08-15,2020-08-15
A,Afghanistan,37852,102,1386,2,0,0,0,0,0,38928341,2020-08-20,2020-08-15
A,Afghanistan,38061,16,1398,8,0,0,0,0,0,38928341,2020-08-25,2020-08-15
A,Afghanistan,38155,22,1403,0,0,0,0,0,0,38928341,2020-08-30,2020-08-15
A,Afghanistan,38324,20,1410,0,0,0,0,0,0,38928341,2020-09-05,2020-09-15
A,Afghanistan,38572,28,1421,0,0,0,0,0,0,38928341,2020-09-10,2020-09-15
